fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,April,31,UTTAR PRADESH,3158,JAUNPUR,1320247,81.958553210119,17,106,0,1190,504,72896,1320247,442237,139487,117,5,12.48486,1094.5402,77211,79247,338567,369468,0,430192,558063,74086,1082.05534,726938,53,28.36,8.91,100.39,NA
2023-2024,April,31,UTTAR PRADESH,3161,VARANASI,281410,123.081482889734,19,79,0,280,151,26522,281410,60890,56148,1676,1012,0.36644,346.730041,14561,18062,101555,154537,0,138540,275209,26802,346.363601,163195,58,10.86,2.84,100.27,NA
2023-2024,April,31,UTTAR PRADESH,3166,HATHRAS,89599,100.145868369067,11,8,0,514,160,11236,89599,26557,27474,45,62,0.276,90.0056966,7898,8686,63416,83239,0,74171,117101,11750,89.7296966,23463,12,32.17,6.89,100.27,NA
2023-2024,April,31,UTTAR PRADESH,3169,AURAIYA,113290,142.465142554506,14,6,0,1883,143,14192,113290,38269,46910,453,375,0,161.39876,7730,8515,85080,106991,0,114385,213968,16075,161.39876,37682,37,12.76,1.04,100.6,NA
2023-2024,April,31,UTTAR PRADESH,3170,KAUSHAMBI,216446,113.911685131626,17,25,0,274,176,22622,216446,80906,68946,183,95,5.17503,251.732316,12511,14024,104413,145536,0,131373,186750,22896,246.557286,111339,59,36.77,27.57,99.86,NA
2023-2024,April,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,338927,116.019809575513,19,19,0,125,119,21919,338927,105618,42961,783,351,0,393.22246,17084,19452,79969,107912,0,101104,184359,22044,393.22246,215379,65,14.7,22.58,100.14,NA
2023-2024,April,31,UTTAR PRADESH,3176,SHRAVASTI,336607,105.054470049642,20,31,0,609,80,17152,336607,76722,37896,4365,1189,0,353.6207,16485,18885,91542,128648,0,112426,202080,17761,353.6207,148731,47,41.41,5.56,100.34,NA
2023-2024,April,31,UTTAR PRADESH,3182,HAPUR,3108,17.2425997425997,6,1,0,10,255,1749,3108,1420,4716,0,7,0,0.5359,478,517,9726,10727,0,14934,23079,1759,0.5359,1397,13,86.87,3.25,100,NA
2023-2024,April,31,UTTAR PRADESH,3183,SHAMLI,18880,131.65737568774,19,0,0,166,142,4636,19266,4570,4371,88,40,0,25.36511,1013,1247,20982,25784,0,41983,62200,4802,25.36511,8614,15,21.18,27.85,100.29,NA
2023-2024,April,31,UTTAR PRADESH,3184,SAMBHAL,158632,125.040751261117,13,36,0,839,246,19807,158986,40509,40855,41,34,4.69948,203.4967688,11602,12776,105076,133346,0,132652,242127,20646,198.7972888,51534,21,20.06,6.33,103.59,NA
2023-2024,Feb,31,UTTAR PRADESH,3112,SAHARANPUR,1984629,224.277322297873,34,159,1264.672135472,4292,3,20248,2008797,944671,83294,4090,301,101.23577,5871.184027472,57962,70233,111611,160711,1566,160060,219172,24540,4505.276122,783511,29,47.11,20.66,101.31,NA
2023-2024,Feb,31,UTTAR PRADESH,3119,MATHURA,2751632,229.203988715682,45,94,2367.645354978,2964,20,15890,2727502,739377,43644,4845,299,131.37147,8750.560201278,60332,75463,105752,143173,2586,130622,176641,18854,6251.5433763,1084511,15,46.98,19.98,99.86,NA
2023-2024,Feb,31,UTTAR PRADESH,3123,MAINPURI,4565284,222.103494063685,49,204,1525.396888164,12897,3,19369,4595191,1185171,49882,6975,344,347.35052,12078.827178064,92135,108524,139493,180399,4500,184631,232952,32266,10206.0797699,1627292,39,40.52,15,99.98,NA
2023-2024,Feb,31,UTTAR PRADESH,3124,BUDAUN,3382677,215.009788696585,41,622,1409.404089161,6633,4,40392,3494643,665336,41724,2961,183,280.64839,9203.877009161,83743,93758,165531,199009,3279,214337,257227,47025,7513.82453,1011144,55,31.94,21.17,102.68,NA
2023-2024,Feb,31,UTTAR PRADESH,3130,HARDOI,7892757,223.246536001048,50,510,4856.072444856,19765,3,56946,8090320,2615767,121856,10527,477,539.1737,23456.605296256,159458,176924,288310,346539,8878,393705,461833,76711,18061.3591514,2183190,50,27.54,20.64,104.01,NA
2023-2024,Feb,31,UTTAR PRADESH,3133,RAE BARELI,4032421,219.700359201109,40,293,6349.34601105,22986,2,29181,4063434,1841442,168696,1803,246,345.21132,15621.93642495,99655,121934,229522,344420,3568,294261,422330,52167,8927.3790939,1818998,44,26.19,21.59,100.53,NA
2023-2024,Feb,31,UTTAR PRADESH,3139,JHANSI,4493012,222.308667200995,61,475,2568.884713934,7109,0,25279,4546522,1417126,73529,38347,1749,428.14529,13104.342466134,74190,105130,133413,210867,6589,164249,253760,32388,10107.3124622,1815860,55,28.59,21.76,101.48,NA
2023-2024,Feb,31,UTTAR PRADESH,3141,HAMIRPUR,4362532,220.617660593145,57,173,2326.240143597,7932,0,21340,4416658,832299,49183,1144,60,162.7995,12232.967199597,76518,108770,129270,209433,5978,160482,259281,29272,9743.927556,1847715,62,42.42,17.49,101.08,NA
2023-2024,Feb,31,UTTAR PRADESH,3144,PRATAPGARH,6972642,223.971499943062,55,337,3366.971316471,34922,26,39609,6937390,2514232,110534,17122,575,357.87146,19262.619216371,124886,131835,240258,272728,16012,316521,361021,74531,15537.7764399,3672714,57,34.41,16.34,102.3,NA
2023-2024,Feb,31,UTTAR PRADESH,3155,DEORIA,4238761,225.20546384857,49,218,2738.38179944,12711,55,22456,4166737,947632,44286,142380,6354,362.4862,12484.58738764,84385,90006,156403,178260,4454,201714,228062,35167,9383.7193882,1703024,28,41.03,24.09,99.79,NA
2023-2024,Feb,31,UTTAR PRADESH,3156,MAU,4618402,226.797303848755,47,370,4661.723003802,14245,10,17869,4706483,1588051,85090,68397,3243,257.58882,15593.488373902,99357,113624,188126,238020,3984,244404,301290,32114,10674.1765501,2470256,44,28.78,31.36,100.18,NA
2023-2024,Feb,31,UTTAR PRADESH,3157,AZAMGARH,8751219,221.126860115757,50,419,6311.282982424,31657,14,70767,8926638,3135172,148204,20421,767,590.98119,26641.458495724,178343,192147,327891,378591,7800,419361,500045,102424,19739.1943233,4449361,64,19.73,29.63,101.24,NA
2023-2024,Feb,31,UTTAR PRADESH,3161,VARANASI,2460027,224.606068050362,44,257,1438.421950364,12412,0,19270,2400046,712912,56630,15052,1051,148.19041,6977.261312364,53609,69238,103233,156542,2796,141006,203259,31682,5390.648952,1301657,60,23.27,13.62,100.74,NA
2023-2024,Feb,31,UTTAR PRADESH,3162,MIRZAPUR,4093485,223.705034229903,45,521,3416.515347601,12690,1,29773,4143015,1587326,129259,44816,3237,266.87072,12951.519191501,91182,118339,202176,301133,3853,260038,374716,42463,9268.1331239,2099973,58,39.12,13.67,100.23,NA
2023-2024,Feb,31,UTTAR PRADESH,3168,KANNAUJ,2711675,225.989374901832,45,338,1108.587189264,10700,4,16792,2814054,805444,44865,162,4,196.18751,7664.237743264,61897,69684,102419,128978,3062,127743,157275,27492,6359.463044,752124,44,33.73,24.21,101.89,NA
2023-2024,Feb,31,UTTAR PRADESH,3169,AURAIYA,2221289,220.77557704339,43,187,1830.990269768,6317,0,14254,2200987,926526,47734,8267,388,178.10099,6868.333009668,50038,56660,87539,109719,1771,118394,144043,20571,4859.2417499,606851,38,40.63,5.96,100.83,NA
2023-2024,Feb,31,UTTAR PRADESH,3170,KAUSHAMBI,2189213,220.608938270387,42,178,3314.857403664,9393,46,19857,2149163,848589,69285,1728,97,114.81619,8170.919269664,50548,60675,105580,146850,1840,133201,179655,29250,4741.245676,1050272,66,33.29,35.01,102.32,NA
2023-2024,Feb,31,UTTAR PRADESH,3176,SHRAVASTI,3017310,225.459829048899,57,305,1671.778258936,9153,0,11741,2971376,755858,38239,23351,1205,102.91394,8473.951448936,51858,62987,93639,130919,3448,114985,156025,20894,6699.25925,1249310,49,48.58,13.32,100.6,NA
2023-2024,March,31,UTTAR PRADESH,3123,MAINPURI,4771319,228.793578311929,51,205,2371.003110873,13961,3,19375,4779125,1233760,49884,7282,344,504.03104,13809.365250373,93342,110088,139503,180411,5162,184745,233055,33336,10934.3310995,1686296,40,37.58,13.51,99.98,NA
2023-2024,March,31,UTTAR PRADESH,3127,SHAHJAHANPUR,4459726,229.983416279663,42,577,3361.363363864,28792,0,28698,4265248,1196814,85706,1914,97,509.05305,13679.779477064,100479,122142,206569,280462,7456,276497,361476,57490,9809.3630632,1299961,61,21.86,18.63,101.18,NA
2023-2024,March,31,UTTAR PRADESH,3138,JALAUN,8487743,229.502267169466,59,737,4207.406721152,13307,1,23542,8406275,2455631,90053,555,12,621.40503,24121.403460652,142215,193720,182147,269400,11160,207803,301471,36849,19292.5917095,3163379,45,20.32,41.77,101.08,NA
2023-2024,March,31,UTTAR PRADESH,3140,LALITPUR,4695290,230.91454221361,51,245,5553.89617399,16058,0,23425,4581449,958776,63749,279255,18994,476.40325,16609.53140909,88440,128398,148572,246958,11952,178395,288895,39483,10579.2319851,1969350,66,28.8,18.96,100.74,NA
2023-2024,March,31,UTTAR PRADESH,3145,PRAYAGRAJ,7083534,230.861117346907,50,433,6037.2484165,34990,2,51124,6965697,2669397,198404,3401,190,683.07739,22801.4117317,137270,170894,299766,421529,9116,408248,554218,86114,16081.0859252,3576471,66,19.65,20.01,101.86,NA
2023-2024,March,31,UTTAR PRADESH,3148,BARABANKI,8463161,230.08959396888,57,422,9479.29827845299,21638,1,30876,8584342,3515164,151968,1396,71,873.97417,30104.950101153,149431,179387,253658,341060,16597,351406,457990,52514,19751.6776527,2978376,45,21.95,33.17,99.97,NA
2023-2024,March,31,UTTAR PRADESH,3150,SULTANPUR,7911257,226.422467570422,56,520,7369.425469431,19124,5,46429,8171013,1929699,75390,16965,473,474.17767,26344.612399531,143528,155908,224464,262492,14322,280341,323516,65553,18501.0092601,4221624,65,22.67,16.1,102.54,NA
2023-2024,March,31,UTTAR PRADESH,3152,MAHARAJGANJ,7962019,228.35094071903,48,562,11238.101846979,19896,0,42465,8115994,1807982,90440,41999,2106,629.83417,30400.884664679,167539,206025,277835,400008,11298,344148,483795,62361,18532.9486477,4005708,51,26.93,20.24,100.83,NA
2023-2024,March,31,UTTAR PRADESH,3165,BAGHPAT,44475,229.385418090681,22,5,102.224392758,50,0,2150,43890,11819,2252,7,13,7.54808,210.449732758,1991,2240,5618,7221,31,16593,20407,2200,100.67726,13803,10,72.01,3.34,108.58,NA
2023-2024,March,31,UTTAR PRADESH,3183,SHAMLI,375165,228.396439754001,43,16,151.7426429,941,1,4625,400815,67570,4511,825,49,5.66764,1072.8574729,9205,10744,21562,26533,322,43052,50930,5566,915.44719,124390,18,28.97,33.42,100.31,NA
2023-2024,Jan,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,875055,226.450531626146,42,44,456.70699203,1896,4,7864,865439,243619,15222,1290,118,22.57429,2439.07249843,20511,22948,44936,51585,796,76069,87154,9760,1959.7912164,326407,18,33.14,45.35,104.49,NA
2023-2024,Jan,31,UTTAR PRADESH,3131,UNNAO,3671135,227.562539457835,46,282,1744.371028372,11706,0,28433,3666889,1187780,86635,4286,384,216.21997,10305.056725872,78261,87870,179871,226554,2869,241062,295892,40139,8344.4657275,1324080,48,25.4,28.45,103.09,NA
2023-2024,Jan,31,UTTAR PRADESH,3137,KANPUR NAGAR,1365976,227.05235594035,38,314,471.326766655,4836,0,16402,1364886,491074,43224,13591,1129,74.70269,3645.035275555,35600,41447,73812,102033,777,107003,141031,21238,3099.0058189,424868,45,34.83,13.5,102.31,NA
2023-2024,Jan,31,UTTAR PRADESH,3141,HAMIRPUR,4148703,224.400061978952,55,168,2326.240143597,7057,0,21819,4146569,780960,49183,1013,60,84.71752,11715.861069597,74378,105454,129254,209414,5110,160390,260244,28876,9304.903406,1742510,62,45.55,17.76,101.08,NA
2023-2024,Jan,31,UTTAR PRADESH,3143,FATEHPUR,4782847,226.266992680384,49,553,2730.207343256,13035,7,44879,4787273,1547391,91792,2499,100,412.47015,13974.696141756,97690,109636,186256,232780,3249,246097,302112,57914,10832.0186485,2272631,70,31.81,11.64,100.41,NA
2023-2024,Jan,31,UTTAR PRADESH,3145,PRAYAGRAJ,6411718,224.929850953448,48,400,5158.5958752,29978,3,55350,6414506,2453814,198356,3257,190,311.74817,19898.4828304,132397,164471,299662,421407,5513,407962,554278,85328,14428.1387852,3296145,66,20.54,21.39,101.96,NA
2023-2024,Jan,31,UTTAR PRADESH,3148,BARABANKI,7482907,219.861092196036,52,400,7508.283319085,19190,1,32832,7494140,3061826,151863,1079,70,365.54896,24350.530333785,141443,169274,253371,340761,10636,350860,458151,52022,16476.6980547,2623825,45,21.76,33.55,99.94,NA
2023-2024,Jan,31,UTTAR PRADESH,3152,MAHARAJGANJ,7195534,223.036921490555,44,525,8839.894260023,17170,0,43940,7203197,1617479,90424,38401,2106,246.14644,25151.829537723,160831,196743,277755,399919,7716,343934,484735,61110,16065.7888377,3556540,51,29.81,21.99,100.74,NA
2023-2024,Jan,31,UTTAR PRADESH,3158,JAUNPUR,11182630,223.496230652237,51,856,7059.07865753,22628,12,74776,11176098,3810740,140279,521,10,454.42719,32491.66361153,215508,225647,342102,373054,8908,435884,472951,97404,24978.157764,5873401,58,28.5,25.25,100.42,NA
2023-2024,Jan,31,UTTAR PRADESH,3161,VARANASI,2266608,226.43955761301,43,249,1438.421950364,11210,0,20268,2265799,671673,56625,13746,1050,113.96082,6683.048002364,52610,67837,103218,156523,1882,140963,204758,31478,5130.665232,1228134,60,23.79,14.11,100.7,NA
2023-2024,Jan,31,UTTAR PRADESH,3168,KANNAUJ,2668293,227.18486877774,44,334,1108.587189264,9917,4,17306,2679995,767932,44863,146,4,173.5601,7370.690413264,60788,68351,102361,128919,2423,127576,158592,27223,6088.543124,714670,44,33.96,24.43,101.78,NA
2023-2024,Jan,31,UTTAR PRADESH,3170,KAUSHAMBI,2000935,225.356501779781,40,170,3314.857403664,8533,46,20170,1990132,800371,69278,1654,97,104.00889,7903.758149664,49089,58799,105561,146831,1113,133169,180196,28703,4484.891856,971527,66,33.34,36.04,102.49,NA
2023-2024,Jan,31,UTTAR PRADESH,3183,SHAMLI,347147,221.779179358639,40,14,63.3073759,904,2,4631,355868,60727,4506,750,48,4.2874,856.8359059,8719,10145,21520,26476,210,42947,50993,5535,789.24113,110969,18,31.5,35.38,100.3,NA
2023-2024,Oct,31,UTTAR PRADESH,3115,MEERUT,638393,211.251626814347,42,26,472.85302641,749,6,7262,638315,276875,14610,4658,159,3.08557,1824.38941811,15141,16721,28305,33312,484,45026,60087,8011,1348.4508217,245048,22,59.56,11.86,100.81,NA
2023-2024,Oct,31,UTTAR PRADESH,3137,KANPUR NAGAR,1095429,223.953680775723,33,254,471.326766655,2525,0,18044,1095443,401215,43127,11317,1128,65.30485,2989.916535955,32902,38218,73595,101787,365,106657,144023,20569,2453.2849193,339276,45,37.98,17.22,102.43,NA
2023-2024,Oct,31,UTTAR PRADESH,3138,JALAUN,7249824,221.705134718793,53,656,3607.646250902,10161,1,25284,7246502,2153665,89972,537,11,125.27593,19798.789202402,135574,184094,181772,268953,5126,206858,331695,35445,16065.8670215,2743853,44,20.92,49.88,101.1,NA
2023-2024,Oct,31,UTTAR PRADESH,3140,LALITPUR,3313159,215.774307516963,42,195,4509.86959471,9177,0,28608,3313027,694027,63694,209747,18988,92.50384,11751.03450181,78406,111603,148294,246559,3445,177923,291903,37785,7148.6610671,1441273,66,28.66,22.77,100.54,NA
2023-2024,Oct,31,UTTAR PRADESH,3149,AYODHYA,2735687,225.54547533354,38,102,5231.48484447401,9023,0,24307,2735658,976045,93296,3780,361,123.63534,11525.273024074,71611,80102,176921,242759,1467,225875,302651,33330,6170.1528396,1306047,39,30.63,25.85,100.42,NA
2023-2024,Oct,31,UTTAR PRADESH,3156,MAU,3558786,223.37022878894,39,315,4661.723003802,9762,10,20864,3557908,1201372,85077,51882,3243,143.46463,12752.494873502,90277,102404,188026,237904,1052,244133,306008,30626,7947.30723970001,1883872,44,26.32,35.33,100.12,NA
2023-2024,Oct,31,UTTAR PRADESH,3158,JAUNPUR,8848257,217.181666053237,44,568,7059.07865753,10773,13,78078,8843715,3040925,140215,521,5,250.93822,26516.94445553,197798,206624,341760,372710,3402,435225,474064,88851,19206.927578,4629754,57,29.72,27.31,100.43,NA
2023-2024,Oct,31,UTTAR PRADESH,3165,BAGHPAT,36917,211.298669989436,19,5,61.945750358,19,0,2152,36917,9764,2252,7,13,1.5545,141.505380358,1869,2104,5618,7221,15,16568,22368,2171,78.00513,11263,10,75.71,3.43,110.03,NA
2023-2024,Oct,31,UTTAR PRADESH,3169,AURAIYA,1564727,222.135879810688,35,144,1830.990269768,3824,1,15691,1564615,664474,47587,6182,383,77.71864,5384.280205668,43473,48858,86925,109067,394,117177,157061,19515,3475.5712959,427921,38,40.01,6.83,100.58,NA
2023-2024,Oct,31,UTTAR PRADESH,3170,KAUSHAMBI,1604315,226.243422834575,36,140,3314.857403664,5780,46,21028,1603069,671224,69226,1436,97,65.51738,7007.212959664,43818,52319,105428,146680,489,132887,181955,26808,3626.838176,782127,63,32.01,40.84,101.56,NA
2023-2024,Oct,31,UTTAR PRADESH,3179,MAHOBA,1203118,218.362242938764,48,70,2091.94285326,3365,1,13857,1203118,237945,32569,1129,122,56.7089,4775.80720326,24710,34981,60994,109652,1293,78351,137762,17222,2627.15545,483637,63,44.46,14.61,100.87,NA
2023-2024,Oct,31,UTTAR PRADESH,3181,AMETHI,3065854,221.151636614129,41,143,3885.274129838,11108,0,38052,3065964,832465,71899,106,2,140.31959,10806.023283838,74253,87056,169019,229030,935,216732,290254,49160,6780.429564,1305828,61,26.65,20.38,101.36,NA
2023-2024,Oct,31,UTTAR PRADESH,3182,HAPUR,243713,203.51917897088,43,16,0,254,1,1830,243548,124695,5079,10,7,0,495.66689,5612,6068,10496,11533,223,15810,20693,2084,495.66689,103153,20,43.19,11.19,101.04,NA
2023-2024,Oct,31,UTTAR PRADESH,3184,SAMBHAL,1810507,209.438978240287,32,222,2254.464284659,5407,7,18686,1850484,494062,41358,589,41,95.4159,6225.514966759,56373,64918,107840,136389,758,136498,182306,24093,3875.6347821,512037,22,53.13,8.56,101.93,NA
2023-2024,Nov,31,UTTAR PRADESH,3121,FIROZABAD,3468244,224.496607515532,45,225,3357.267166183,5710,7,18638,3479674,946975,32966,3029,133,78.77164,11247.788888783,75857,79475,104061,113554,1442,132372,154517,24348,7811.7500826,1442752,31,49.53,18.01,99.82,NA
2023-2024,Nov,31,UTTAR PRADESH,3127,SHAHJAHANPUR,3136765,220.080584362051,35,520,2755.334592664,17208,0,37382,3136754,877661,85592,1418,97,311.54126,9970.262385864,87686,106512,206175,280032,888,275760,363663,54590,6903.3865332,1004731,60,18.93,19.85,101.09,NA
2023-2024,Nov,31,UTTAR PRADESH,3136,KANPUR DEHAT,1740873,226.088234516712,36,215,1372.348451083,6937,2,22948,1740328,690345,58945,1454,145,117.67426,5424.699561083,47074,55398,107210,141706,759,143587,186242,29885,3934.67685,570575,52,38.61,15.28,100.77,NA
2023-2024,Nov,31,UTTAR PRADESH,3138,JALAUN,7511794,225.792443606258,54,673,3607.646250902,11139,1,24735,7507216,2220295,90009,537,11,202.87254,20761.245244102,137345,186587,181932,269148,6102,207133,320046,35874,16950.7264532,2842295,44,20.64,48.99,101.09,NA
2023-2024,Nov,31,UTTAR PRADESH,3141,HAMIRPUR,3678541,219.773517492732,51,159,2326.240143597,5272,0,22893,3677756,695173,49141,820,60,84.71752,10493.691389597,70750,99975,129035,209137,3808,159923,265713,28165,8082.733726,1554565,61,48.12,18.61,101.05,NA
2023-2024,Nov,31,UTTAR PRADESH,3142,BANDA,3094457,222.904085320855,46,233,1421.358971222,9575,2,47563,3093593,585417,69006,154,26,182.85445,8499.958601422,65936,89684,163239,263308,1630,209028,328960,57138,6895.7451802,1584197,82,37.77,14.32,101.21,NA
2023-2024,Nov,31,UTTAR PRADESH,3157,AZAMGARH,7027892,221.848695170254,44,342,6311.282982424,25444,14,70839,7025338,2470238,147832,15793,765,492.50289,22389.406556724,159238,171257,326590,377211,2151,416820,500054,96283,15585.6206843,3510559,63,19.65,32.88,100.89,NA
2023-2024,Nov,31,UTTAR PRADESH,3160,GHAZIPUR,7194454,219.705019823756,39,499,5519.796414528,11015,1,50436,7184814,1606988,112897,69190,3901,319.63604,21624.829477528,180031,210568,323628,427586,1605,407002,527813,61451,15785.397023,3313541,56,34.89,22.11,99.81,NA
2023-2024,Nov,31,UTTAR PRADESH,3169,AURAIYA,1667407,222.192631227586,37,162,1830.990269768,4009,1,15790,1667199,709619,47626,6363,388,153.70315,5689.086745668,44939,50586,87077,109233,519,117411,154680,19799,3704.3933259,456678,38,39.25,6.52,100.52,NA
2023-2024,Nov,31,UTTAR PRADESH,3170,KAUSHAMBI,1716139,222.951956945678,37,149,3314.857403664,6762,46,20706,1713742,708049,69240,1511,97,104.00889,7239.687619664,45633,54491,105463,146720,723,132939,181437,27468,3820.821326,835888,64,33.64,38.84,102.21,NA
2023-2024,Nov,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,1569109,227.475934629033,42,47,1468.132172901,5677,13,18991,1568831,528595,43460,5037,357,178.35823,5215.203382901,37314,44253,81415,109568,451,103260,135992,24668,3568.71298,936404,67,23.67,26.93,100.67,NA
2023-2024,Nov,31,UTTAR PRADESH,3179,MAHOBA,1301055,221.705261499322,50,71,2091.94285326,4044,1,13314,1301055,259797,32576,1186,123,82.85453,5059.30477326,25614,36353,61019,109682,1669,78393,137644,17358,2884.50739,519805,63,44.05,14.24,100.85,NA
2023-2024,Nov,31,UTTAR PRADESH,3184,SAMBHAL,2039488,215.214038765787,35,244,2254.464284659,6274,7,18249,2081423,557937,41415,616,41,149.54268,6883.521466759,58974,68197,108099,136697,1145,136896,180049,24523,4479.5145021,572038,22,54.08,8.48,102.12,NA
2023-2024,June,31,UTTAR PRADESH,3111,RAMPUR,1495303,169.435680647707,28,151,201.93627,2489,18,19945,1495120,309911,37551,551,63,49.67176,2784.8747785,52356,58360,123771,151284,37,152727,202797,22434,2533.2667485,338532,27,27.32,30.86,103.08,NA
2023-2024,June,31,UTTAR PRADESH,3117,BULANDSHAHR,260232,183.667642718805,22,16,0,172,244,11463,260232,42373,11176,86,60,4.03398,481.99596,11516,12229,50460,56682,3,71239,88551,11635,477.96198,94305,22,37.38,32.76,101.28,NA
2023-2024,June,31,UTTAR PRADESH,3118,ALIGARH,1231273,193.021680139173,21,123,163.86669,1350,17,25005,1231273,304029,44813,1514,240,46.49006,2586.9805817,57473,63319,145814,176208,24,180599,265396,26355,2376.6238317,329981,23,41.46,30.51,99.99,NA
2023-2024,June,31,UTTAR PRADESH,3123,MAINPURI,1412026,194.534263944148,27,103,77.02939,1141,4,24434,1412026,368965,49124,1876,333,52.13887,2876.0426458,50454,58105,135968,176396,48,179923,247338,25575,2746.8743858,522615,42,35.79,17.12,99.93,NA
2023-2024,June,31,UTTAR PRADESH,3128,KHERI,2828815,186.848471921989,27,364,247.08459,8168,9,53166,2828815,921967,183879,38409,8769,101.74164,5634.423831,101686,121845,340387,477089,188,447566,650814,61334,5285.597601,845191,54,29.17,17.95,100.21,NA
2023-2024,June,31,UTTAR PRADESH,3134,FARRUKHABAD,824784,182.638807251353,27,39,98.22063,1047,18,22613,824784,172171,24629,0,1,22.12451,1626.7208,29975,32015,86583,98738,15,107174,130620,23660,1506.37566,238605,43,31.2,23.37,100.02,NA
2023-2024,June,31,UTTAR PRADESH,3137,KANPUR NAGAR,519524,205.392977981436,24,147,17.37422,565,17,17953,519607,193191,42951,6024,1125,16.49878,1101.1092911,21032,24040,72810,100865,2,105506,147940,18518,1067.2362911,171536,40,29.83,24.78,101.65,NA
2023-2024,June,31,UTTAR PRADESH,3149,AYODHYA,1486830,192.45490562383,26,77,202.59136,2034,4,28909,1486816,533840,93114,2052,360,43.02297,3107.0646596,56088,61453,176393,242170,29,225152,309020,30943,2861.4503296,735010,37,27.74,26.57,100.15,NA
2023-2024,June,31,UTTAR PRADESH,3150,SULTANPUR,3085735,181.157917146298,34,186,210.23561,1851,12,52460,3085704,762906,74303,6873,438,101.05602,5901.2887257,88198,94860,218109,255696,50,269977,326291,54311,5589.9970957,1640955,62,21.85,23.36,102.44,NA
2023-2024,June,31,UTTAR PRADESH,3155,DEORIA,1867658,180.933834855567,31,76,103.18095,1952,86,30522,1867541,425434,44085,61070,6295,84.66854,3566.8630388,59723,63156,155353,177125,37,199888,239197,32474,3379.0135488,780202,27,41.5,29.32,99.87,NA
2023-2024,June,31,UTTAR PRADESH,3158,JAUNPUR,4965944,176.473446096049,31,215,200.86483,3490,19,77880,4965944,1733108,139876,429,5,155.41709,9119.854428,156464,162353,340659,371579,51,433272,511719,81370,8763.572508,2628741,55,30.05,27.4,100.38,NA
2023-2024,June,31,UTTAR PRADESH,3159,BALLIA,2275591,179.054260939057,32,89,74.39701,9379,22,41942,2273642,401523,57252,75878,9481,89.38912,4234.8390095,70505,77567,194056,241423,69,266560,369234,51321,4071.0528795,1251894,56,26.86,21.89,100.03,NA
2023-2024,June,31,UTTAR PRADESH,3161,VARANASI,900482,186.104199754328,26,148,74.44325,1710,27,26577,900386,245576,56307,4630,1018,22.66651,1772.76592,33880,42337,102094,155183,9,139377,245461,28287,1675.65616,509148,59,17.93,12.78,100.56,NA
2023-2024,June,31,UTTAR PRADESH,3165,BAGHPAT,12236,170.845946387708,14,1,0,2,105,2081,12236,3617,2235,7,13,1.5545,22.45921,844,964,5511,7108,0,16438,28380,2083,20.90471,4383,9,25.49,8.58,107.64,NA
2023-2024,June,31,UTTAR PRADESH,3172,KUSHI NAGAR,2416258,196.000878796156,27,300,214.98424,3541,23,43564,2416260,612702,84741,15606,2046,88.27762,5039.152694,87118,103357,230186,312577,41,343299,486467,47105,4735.890834,999208,40,40.66,17.53,100.45,NA
2023-2024,June,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,1680572,180.778776541066,27,101,0,1548,4,54244,1681969,589993,94830,3352,530,28.14449,3068.78747,60974,68832,181992,240669,88,232606,322018,55792,3040.64298,854543,56,34.94,24.31,100.48,NA
2023-2024,June,31,UTTAR PRADESH,3182,HAPUR,116777,160.218789623385,25,7,0,140,31,1699,116724,64320,4941,10,7,0,187.01378,4550,4924,10158,11187,2,15408,21481,1839,187.01378,48788,12,39.13,10.62,100.35,NA
2023-2024,Dec,31,UTTAR PRADESH,3111,RAMPUR,3556554,220.7135982551,45,257,4714.97318065101,8532,4,15830,3555276,729280,37951,1172,65,208.14013,12770.090898151,77864,89213,125375,153121,3057,154896,189180,24362,7846.9775875,856286,29,28.09,26.5,103.72,NA
2023-2024,Dec,31,UTTAR PRADESH,3116,GHAZIABAD,1,263.197530864198,15,0,0,6,143,27,243,23,17,0,0,0,0.63957,16,17,40,52,0,14794,22185,33,0.63957,82,33,59.56,0.44,100,NA
2023-2024,Dec,31,UTTAR PRADESH,3117,BULANDSHAHR,690861,219.079293248256,33,78,804.5416977,2595,6,10183,688785,112551,11516,190,60,10.56832,2324.0953277,20863,22175,52204,58488,421,73595,82450,12778,1508.98531,237176,24,46.47,29.34,101.53,NA
