fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Dec,31,UTTAR PRADESH,3182,HAPUR,106517,237.36288766634,37,30,35.979361035,748,0,1268,181406,92054,4692,62,6,0,466.569881035,4888,5265,9061,10394,97,16175,18461,2016,430.59052,76978,11,74.12,10.98,99.96,NA
2024-2025,Oct,31,UTTAR PRADESH,3111,RAMPUR,2642032,237.296550157728,41,208,4874.224011179,4726,4,15682,2771547,551667,34774,1291,57,451.21547,11902.224898179,67231,76293,114803,143226,1415,161816,196040,20408,6576.785417,761471,24,59.69,16.7,100.55,NA
2024-2025,Oct,31,UTTAR PRADESH,3116,GHAZIABAD,0,177.268292682927,12,0,0.1,7,144,24,123,51,14,0,0,0,0.31804,10,12,30,43,0,14797,22188,31,0.21804,21,41,76.67,0,100,NA
2024-2025,Oct,31,UTTAR PRADESH,3119,MATHURA,1747730,237.855956167893,44,85,3145.036026099,8156,6,12911,2407459,637160,39839,5281,260,196.82031,9068.140959899,54423,66680,97581,131468,2225,137521,183915,21067,5726.2846238,976668,17,60.6,9.47,100.07,NA
2024-2025,Oct,31,UTTAR PRADESH,3120,AGRA,2170538,237.564367334033,40,214,4185.267046607,8724,0,16883,3010791,865303,53344,11429,773,460.3509,11798.184537507,74059,91503,124779,175029,1576,174721,236662,25607,7152.5665909,1199956,41,60.84,12.88,100.45,NA
2024-2025,Oct,31,UTTAR PRADESH,3128,KHERI,5182429,239.01623817506,35,694,7267.92505890401,23484,0,33615,4705732,1669566,158272,71884,7557,815.98781,19331.376473904,133042,157977,288284,412380,2726,460154,622800,57099,11247.463605,1384523,49,45.21,21.05,99.97,NA
2024-2025,Oct,31,UTTAR PRADESH,3134,FARRUKHABAD,1504756,238.695113412518,37,69,1746.750611638,5690,16,14354,1346809,306276,22621,41,3,240.43817,5201.956051638,35639,37487,78026,89928,545,110674,125360,20044,3214.76727,325420,32,64.44,17.28,100.05,NA
2024-2025,Oct,31,UTTAR PRADESH,3140,LALITPUR,2968782,237.139185971571,42,226,4770.26132667001,8055,0,20883,3222713,716094,59694,174046,17800,245.73074,12658.30744107,75092,104783,137262,230560,5001,182861,296127,28938,7642.3153744,1349211,59,42.76,23.15,99.99,NA
2024-2025,Oct,31,UTTAR PRADESH,3144,PRATAPGARH,3782846,239.37489476533,41,198,5695.277895605,16070,45,34632,3968464,1497905,92487,11123,521,901.22195,16096.006369405,95484,99464,206940,234344,3464,329482,374809,50702,9499.5065238,2030517,46,58.94,18.12,101.35,NA
2024-2025,Oct,31,UTTAR PRADESH,3152,MAHARAJGANJ,4125327,242.461025189002,33,513,8092.180987735,25564,0,30931,4867005,1074943,77891,23979,1806,751.42615,20644.197356735,144250,170665,238293,347737,1163,350042,492830,56495,11800.590219,2492994,55,33.79,22.78,100.24,NA
2024-2025,Oct,31,UTTAR PRADESH,3163,SONBHADRA,2827563,234.073099780066,35,516,3960.936455356,18079,2,22868,2691720,799676,84480,797053,83686,395.71537,10657.244266756,74832,95483,179930,278032,2266,261841,391575,40947,6300.5924414,1424505,66,51.91,21.33,100.75,NA
2024-2025,Oct,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,4214726,242.30330038422,38,229,8230.155519155,16904,4,33418,4050286,1329728,75913,3576,192,684.4744,18728.606572155,104620,113587,185528,223110,1082,243529,287518,50322,9813.976653,2233924,59,36.45,23.72,99.73,NA
2024-2025,Oct,31,UTTAR PRADESH,3176,SHRAVASTI,1856854,241.250543289545,42,225,2012.713962104,6566,1,8159,1794163,484305,33469,9652,1110,280.81672,6621.958667104,41807,49454,80951,115149,846,118521,160698,14725,4328.427985,761616,40,56.31,15.2,100.9,NA
2024-2025,Oct,31,UTTAR PRADESH,3177,CHITRAKOOT,1386457,237.816867764662,35,291,2421.634542112,9690,5,15056,1258839,479425,66418,496,31,352.7589,5768.124922112,35288,45860,92161,151104,688,135197,214775,24746,2993.73148,589569,74,49.41,9.68,99.98,NA
2024-2025,Oct,31,UTTAR PRADESH,3179,MAHOBA,819415,238.332322819649,45,54,1691.378215285,3750,1,8980,1013346,230946,26520,1222,96,124.18951,4230.698785285,22335,30687,51022,92372,1236,81135,139473,12730,2415.13106,372225,55,39.3,35.14,100.27,NA
2024-2025,Oct,31,UTTAR PRADESH,3111,RAMPUR,2642032,237.746408435928,41,209,4876.601511179,4756,4,15684,2788075,555266,34790,1291,57,451.21547,11956.365158179,67378,76489,114862,143315,1424,161868,196115,20440,6628.548177,766706,24,59.69,16.63,100.54,NA
2024-2025,Oct,31,UTTAR PRADESH,3115,MEERUT,575244,237.38920605956,43,50,612.354006185,2503,18,6151,550205,251335,12754,5460,145,0.57085,1919.052137385,12690,13820,24559,28895,378,47404,54727,8654,1306.1272812,216297,20,56.6,23.11,114.56,NA
2024-2025,Oct,31,UTTAR PRADESH,3119,MATHURA,1747730,237.289727037076,44,85,3145.898526099,8166,6,12913,2419596,640630,39853,5281,260,196.82031,9084.171579899,54496,66773,97627,131528,2238,137565,183970,21079,5741.4527438,981716,17,60.57,9.52,100.05,NA
2024-2025,Oct,31,UTTAR PRADESH,3131,UNNAO,2727512,238.868979146069,37,250,3798.138835575,12339,1,20637,2174650,774591,69838,3792,347,293.95613,9286.659220575,57323,62710,141853,182883,1361,244923,300082,32976,5194.564255,734685,41,52.76,17.99,101.23,NA
2024-2025,Oct,31,UTTAR PRADESH,3136,KANPUR DEHAT,2034083,239.63653501967,34,203,2213.996584311,8304,0,17854,1410236,540493,51255,1603,127,410.55816,6003.995430311,40628,46391,89582,120779,373,149959,194090,26158,3379.440686,471583,52,49.4,12.66,100.61,NA
2024-2025,Oct,31,UTTAR PRADESH,3137,KANPUR NAGAR,928893,232.369055456739,32,159,1226.305632738,2908,2,14263,776407,310685,37925,7605,934,93.01239,3123.447635138,23629,26458,63679,89497,396,111163,146460,17171,1804.1296124,208436,32,51.71,11.5,100.89,NA
2024-2025,Oct,31,UTTAR PRADESH,3145,PRAYAGRAJ,4071424,237.396351490092,36,471,5287.502837482,28378,1,32940,3917476,1782698,169892,1883,177,1286.82644,15874.274371982,106046,125861,249197,355152,3919,417779,566193,61318,9299.9450945,1852857,55,42.17,24.57,100.28,NA
2024-2025,Oct,31,UTTAR PRADESH,3147,GONDA,4016059,240.695919154658,38,198,3529.106566232,13117,2,26545,2930410,741634,52688,3235,231,536.83588,11119.319730732,76153,80178,173032,200015,892,309935,348727,39662,7053.3772845,1276857,46,33.73,32.12,100.41,NA
2024-2025,Oct,31,UTTAR PRADESH,3148,BARABANKI,4341449,240.719452267049,39,369,6418.59390201,12851,2,26332,4226640,1775809,132752,1881,91,587.50485,17180.44340931,107066,124042,220628,299020,1978,356983,464914,39183,10174.3446573,1425653,36,34.66,30.99,99.84,NA
2024-2025,Oct,31,UTTAR PRADESH,3152,MAHARAJGANJ,4125327,242.303401522267,33,513,8098.880987735,25635,0,30905,4875229,1076544,77888,24011,1806,751.42615,20663.152836735,144291,170714,238303,347751,1181,350035,492820,56540,11812.845699,2496751,55,33.77,22.74,100.23,NA
2024-2025,Oct,31,UTTAR PRADESH,3158,JAUNPUR,6450449,238.455009534709,42,1034,10610.846715961,47954,20,40945,7469027,2532699,125720,528,18,1290.43585,29711.551610961,174310,180065,311505,341545,2024,452048,491222,88899,17810.269045,3956055,59,31.44,27.36,100.19,NA
2024-2025,Oct,31,UTTAR PRADESH,3163,SONBHADRA,2827563,233.934491466021,36,515,3965.695435356,18130,2,22839,2710576,804760,84507,803535,83707,395.71537,10702.382986756,75081,95818,180008,278147,2293,261886,391647,40969,6340.9721814,1434730,66,52.06,21.27,100.75,NA
2024-2025,Oct,31,UTTAR PRADESH,3181,AMETHI,3375260,240.696395763822,37,148,4271.397487419,18338,0,23013,2264305,642442,62403,53,3,386.43043,10107.928441519,60452,67774,146186,200348,775,220923,289110,41351,5450.1005241,950125,58,33.05,27.16,100.27,NA
2024-2025,Oct,31,UTTAR PRADESH,3184,SAMBHAL,1358192,234.399247976537,30,70,2523.518270839,4982,6,17667,1528197,412035,38212,688,43,417.03224,6522.632786439,49922,56629,97553,124810,334,142063,178484,22649,3582.0822756,419127,19,63.49,13.21,100.14,NA
2024-2025,Oct,31,UTTAR PRADESH,3110,MORADABAD,2060162,240.10949278755,34,224,2299.062395148,5032,5,16714,2020534,383776,33990,1381,117,572.65678,7723.213114148,58773,68446,115757,156956,506,180199,247504,21746,4851.493939,610725,26,69.04,12.08,102.08,NA
2024-2025,Oct,31,UTTAR PRADESH,3115,MEERUT,575244,237.986394266869,40,48,590.193337085,2468,20,6085,499413,227877,12660,4852,145,0.57085,1779.299178285,12261,13319,24388,28690,197,47331,54650,8553,1188.5349912,195618,20,56.14,23.02,116.25,NA
2024-2025,Oct,31,UTTAR PRADESH,3117,BULANDSHAHR,357823,235.543644315712,25,59,533.363563,1266,17,10212,380461,78782,9721,244,44,55.79923,1485.3144976,14855,15504,42187,47308,153,77876,86680,11478,896.1517046,137882,18,54.86,20.43,100.25,NA
2024-2025,Oct,31,UTTAR PRADESH,3122,ETAH,1847817,234.759074227758,33,116,2944.130069794,3134,8,13796,1338731,254996,22426,663,49,357.30595,6444.228521794,40401,43970,86520,108125,205,136354,166901,16930,3142.792502,453968,27,54.02,10.79,100.79,NA
2024-2025,Oct,31,UTTAR PRADESH,3130,HARDOI,5049830,241.427485324974,39,450,8106.52699619899,25944,11,39959,5307827,1676404,103152,5401,431,880.89702,21801.977267699,135461,148501,246807,301679,2795,414839,488988,65903,12814.5532515,1851645,48,38.01,24.46,100.86,NA
2024-2025,Oct,31,UTTAR PRADESH,3134,FARRUKHABAD,1504756,237.630149333609,36,69,1628.520969538,5619,17,14253,1278078,288884,22500,41,3,240.43817,4906.057799538,34950,36723,77792,89594,428,110592,125199,19872,3037.09866,306525,32,64.01,17.45,100.03,NA
2024-2025,Oct,31,UTTAR PRADESH,3141,HAMIRPUR,2129115,235.887617293981,42,148,4195.73729794,10884,0,14013,2605739,495436,42959,977,46,321.98762,10664.34055794,60966,82430,115059,186846,1418,165220,265380,24897,6146.61564,1096029,63,42.18,29.18,101.21,NA
2024-2025,Oct,31,UTTAR PRADESH,3156,MAU,2812357,238.324668010041,34,415,4045.209360862,12046,19,13330,2816787,974613,72458,40715,2750,571.97404,11330.281667162,80749,90352,154418,198878,778,246012,303668,25376,6713.0982663,1472555,32,39.74,27.78,100.04,NA
2024-2025,Oct,31,UTTAR PRADESH,3157,AZAMGARH,5767785,239.209392744742,44,432,7712.094314361,40689,27,45118,7631486,2692955,127139,16809,718,1204.52295,27171.848582361,173092,184342,286991,332314,4506,434288,517275,85807,18255.231318,3750091,64,35.17,23.87,100.04,NA
2024-2025,Oct,31,UTTAR PRADESH,3158,JAUNPUR,6450449,239.850707415535,41,1015,10115.794517695,47189,20,40858,7170326,2429162,125235,462,16,1290.43585,28604.308002695,171869,177491,310878,339935,1531,451789,489784,88047,17198.077635,3800625,59,30.57,27.66,100.19,NA
2024-2025,Oct,31,UTTAR PRADESH,3159,BALLIA,3473529,234.746681750803,33,221,3760.948803066,13883,12,24884,2134472,429755,46923,77073,7759,986.95962,9758.510615966,64288,70603,161673,202351,468,275879,332267,38767,5010.6021929,987599,50,49.36,17.6,100.09,NA
2024-2025,Oct,31,UTTAR PRADESH,3172,KUSHI NAGAR,3544644,244.317621320521,32,409,6640.189041652,13012,2,33542,2859780,682361,72596,18046,1876,664.19266,14291.328172652,88090,103123,197108,271833,782,353065,473115,46554,6986.946471,1205856,45,42.89,14.26,102.57,NA
2024-2025,Oct,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,1279060,241.103258320579,35,73,1706.444245395,6840,1,12310,1134296,419969,38329,4327,319,256.85257,4698.121430395,32007,37183,70319,95891,706,107220,140650,19150,2734.824615,614915,61,41.24,31.58,100.23,NA
2024-2025,Oct,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,4214726,242.386788626748,38,229,7967.260486355,16292,4,33584,3967801,1303424,75811,3473,192,684.4744,18269.160309355,103809,112716,185232,222754,1017,243376,287309,49876,9617.425423,2187211,59,36.23,24.21,99.73,NA
2024-2025,Oct,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,3041618,242.424635812403,33,133,4953.84868526,26387,2,29421,2424149,856064,82512,5909,472,726.12728,11556.71035006,71306,78945,159403,212701,698,242728,311977,55808,5876.7343848,1196411,56,42.1,31.03,99.95,NA
2024-2025,Oct,31,UTTAR PRADESH,3184,SAMBHAL,1358192,236.649327068918,28,69,2395.051949439,4817,8,17511,1391138,372755,38078,696,43,417.03224,6104.202905039,48203,54555,97089,124187,207,141554,177828,22328,3292.1187156,382030,20,62.31,13.89,100.14,NA
2024-2025,Oct,31,UTTAR PRADESH,3120,AGRA,2170538,238.30561811043,39,211,4004.328058109,8556,0,16860,2892234,832248,53268,11141,772,460.3509,11357.035069009,73377,90609,124552,174714,1320,174595,236475,25416,6892.3561109,1154889,41,61.04,12.37,100.47,NA
2024-2025,Oct,31,UTTAR PRADESH,3123,MAINPURI,2948701,237.094578486997,46,163,3842.483260341,8764,0,18844,3350039,874173,45035,5962,303,303.9801,12089.224206541,72238,82546,126542,164889,1492,192837,243142,27608,7942.76084619999,1155403,37,62.27,10.92,100.13,NA
2024-2025,Oct,31,UTTAR PRADESH,3125,BAREILLY,2733792,239.803289133506,28,512,4052.567800643,11214,7,30055,2311095,476296,59512,1311,170,766.41185,10361.061475643,80347,94937,181487,260788,353,267072,365246,41269,5542.081825,477697,42,47.7,13.78,100.74,NA
2024-2025,Oct,31,UTTAR PRADESH,3136,KANPUR DEHAT,2034083,240.217628456294,33,201,2132.768043811,8123,1,17898,1362876,522283,51192,1553,126,410.55816,5817.194609811,40109,45742,89401,120536,319,149902,194006,26021,3273.868406,457130,52,48.63,12.87,100.62,NA
2024-2025,Oct,31,UTTAR PRADESH,3141,HAMIRPUR,2129115,236.96465695116,42,148,4195.73729794,11186,0,13855,2618563,498284,42969,977,46,321.98762,10722.79374794,61063,82603,115074,186865,1461,165255,265424,25041,6205.06883,1101910,63,42.18,29.19,101.2,NA
2024-2025,Oct,31,UTTAR PRADESH,3145,PRAYAGRAJ,4071424,238.404087746003,36,468,5026.993387882,27893,1,33085,3760422,1709094,169634,1730,175,1286.82644,15278.819592382,104409,123820,248667,354484,3578,417618,565980,60978,8964.9997645,1783241,55,41.53,24.98,100.28,NA
2024-2025,Oct,31,UTTAR PRADESH,3147,GONDA,4016059,241.221233235706,37,195,3360.693278888,12972,2,26501,2852342,721531,52667,3088,230,536.83588,10777.983707388,75490,79465,172852,199800,790,309626,348397,39473,6880.4545485,1242089,46,33.38,33.26,100.41,NA
2024-2025,Oct,31,UTTAR PRADESH,3148,BARABANKI,4341449,241.508990422319,38,363,6158.51330351,12774,2,26092,4085540,1721287,132617,1776,91,587.50485,16612.96456081,105719,122458,220287,298593,1795,356878,464797,38866,9866.9464073,1380948,36,33.94,31.84,99.84,NA
2024-2025,Oct,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,6045448,239.0303287473,34,226,11273.924810907,13278,6,22985,5836489,1409394,74675,170,10,879.59281,26104.496464907,166831,181457,272435,320510,828,376024,438119,36263,13950.978844,3319786,23,31.58,24.91,99.78,NA
2024-2025,Oct,31,UTTAR PRADESH,3152,MAHARAJGANJ,4125327,242.283884033813,33,511,7931.628046435,25165,0,31200,4818439,1065923,77871,23926,1806,751.42615,20357.355355435,143938,170243,238220,347644,1085,350075,492881,56365,11674.301159,2467059,55,33.95,23.09,100.24,NA
2024-2025,Oct,31,UTTAR PRADESH,3156,MAU,2812357,238.173185534698,34,415,4045.209360862,12106,19,13323,2827428,978984,72468,40783,2750,571.97404,11351.358737162,80822,90434,154446,198909,795,246021,303680,25429,6734.1753363,1477861,32,39.78,27.73,100.04,NA
2024-2025,Oct,31,UTTAR PRADESH,3161,VARANASI,1172152,239.991589555349,29,174,3162.804811263,9078,0,13367,1187785,419212,49220,7653,919,123.9638,6137.352713263,40089,48440,86587,133704,888,144321,207297,22445,2850.584102,598754,50,38.7,14.2,100.3,NA
2024-2025,Oct,31,UTTAR PRADESH,3163,SONBHADRA,2827563,234.284779885283,35,510,3667.475352922,17860,2,22927,2625063,782259,84357,772944,83566,395.71537,10213.313794322,73848,94116,179652,277582,2161,261663,391238,40787,6150.1230714,1388958,66,51.7,21.44,100.76,NA
2024-2025,Oct,31,UTTAR PRADESH,3165,BAGHPAT,28142,235.184489110665,17,3,3.3161527,140,1,2316,21443,5782,1784,54,7,2.61618,56.3629427,1246,1365,4273,5566,0,17022,20911,2456,50.43061,6959,9,61.65,3.5,113.45,NA
2024-2025,Oct,31,UTTAR PRADESH,3170,KAUSHAMBI,1452735,238.478774381726,33,206,2650.457005202,6698,3,15278,1204078,508295,56210,915,72,304.86818,5826.795642202,35568,41193,86185,119558,659,133414,177298,21976,2871.470457,597519,62,37.6,29.01,101.18,NA
2024-2025,Oct,31,UTTAR PRADESH,3177,CHITRAKOOT,1386457,237.622375744338,35,291,2395.466907512,9514,5,15183,1228777,466773,66388,503,31,352.7589,5668.074907512,34915,45289,92133,151039,658,135149,214679,24697,2919.8491,576527,74,48.89,9.71,99.98,NA
2024-2025,Oct,31,UTTAR PRADESH,3184,SAMBHAL,1358192,236.285647843371,29,70,2395.051949439,4834,8,17528,1404182,375878,38092,696,43,417.03224,6129.964725039,48376,54766,97130,124244,208,141623,177924,22362,3317.8805356,385020,20,62.42,13.85,100.14,NA
2024-2025,Oct,31,UTTAR PRADESH,3110,MORADABAD,2060162,241.703827936418,33,218,2300.521917548,4982,5,16526,1963251,370136,33928,1323,117,572.65678,7618.431516548,58081,67537,115520,156574,462,180073,247295,21508,4745.252819,593593,25,68.78,12.22,102.13,NA
2024-2025,Oct,31,UTTAR PRADESH,3111,RAMPUR,2642032,238.252775023473,39,200,4717.811622879,4443,4,15418,2583834,510925,34559,1157,57,451.21547,11325.083299879,65463,74131,114045,142090,1200,161366,195220,19861,6156.056207,707697,23,59.29,17.63,100.54,NA
2024-2025,Oct,31,UTTAR PRADESH,3115,MEERUT,575244,239.313278824311,40,48,346.620937385,2446,20,6062,487748,222739,12641,4852,145,0.57085,1514.437518585,12161,13205,24340,28638,181,47190,54504,8508,1167.2457312,191546,20,55.96,23.07,116.66,NA
2024-2025,Oct,31,UTTAR PRADESH,3121,FIROZABAD,2775972,237.190210910692,45,278,3886.974893266,4502,2,16388,3161101,837985,31759,3609,157,257.42987,11642.226892266,69286,71777,107202,116354,611,150885,162739,20890,7497.822129,1329693,29,53.07,12.48,99.55,NA
2024-2025,Oct,31,UTTAR PRADESH,3123,MAINPURI,2948701,236.561267466993,45,162,3842.483260341,8491,3,18852,3259004,848884,44923,5721,303,303.9801,11856.004529541,71436,81519,126182,164409,1210,192568,242824,27343,7709.54116919999,1124419,38,61.99,11.15,100.13,NA
2024-2025,Oct,31,UTTAR PRADESH,3131,UNNAO,2727512,240.121059481297,36,246,3454.142677375,11993,1,20435,1983178,703086,69598,3664,347,293.95613,8510.126832375,55068,60128,141323,182135,929,244652,299636,32428,4762.028025,672409,41,51.83,19.87,101.28,NA
2024-2025,Oct,31,UTTAR PRADESH,3136,KANPUR DEHAT,2034083,240.350757239776,33,201,1457.888598611,7956,1,17999,1334848,512016,51145,1539,126,410.55816,5076.764034611,39795,45347,89312,120405,301,149862,193931,25955,3208.317276,447503,52,48.48,12.98,100.64,NA
2024-2025,Oct,31,UTTAR PRADESH,3138,JALAUN,5054263,236.254904880824,45,579,8120.957666144,8994,1,21108,5140341,1450803,85415,845,33,357.87211,20623.137516244,113195,145632,177005,261127,1476,218360,314526,30102,12144.3077401,1955491,43,41.92,40.46,100.61,NA
2024-2025,Oct,31,UTTAR PRADESH,3143,FATEHPUR,3461451,244.389925213797,34,558,4253.685953884,21545,2,25989,2104800,615320,77965,1466,111,843.3009,10240.905999784,61511,65844,163070,204452,189,253606,308439,47534,5143.9191459,1037440,68,29.31,15.57,100.52,NA
2024-2025,Oct,31,UTTAR PRADESH,3153,BASTI,6450978,241.494773513686,42,285,12072.022320676,18118,2,28463,7442017,1967953,98064,351,14,623.34668,30667.451099676,174257,195861,287812,361419,3445,394771,488498,46581,17972.082099,3882149,32,50.22,26.14,99.93,NA
2024-2025,Oct,31,UTTAR PRADESH,3166,HATHRAS,914333,231.154925870771,29,40,615.45429772,3891,12,8307,682929,223003,24126,554,51,141.23162,2335.30994142,23454,27367,53675,72126,141,78262,101091,12198,1578.6240237,192669,11,62.37,14.99,99.99,NA
2024-2025,Oct,31,UTTAR PRADESH,3117,BULANDSHAHR,357823,235.513399581987,26,59,533.363563,1275,17,10259,395681,81732,9759,259,44,55.79923,1521.0445676,15095,15762,42340,47478,159,77964,86787,11534,931.8817746,143820,18,54.73,20.04,100.26,NA
2024-2025,Oct,31,UTTAR PRADESH,3118,ALIGARH,1877998,238.57152661913,31,186,3623.510528512,7314,2,18488,1957502,463504,40016,2880,222,213.72645,8507.279383512,62115,68535,130017,160404,665,189425,228718,25802,4670.042405,556388,22,66.36,13.89,99.93,NA
2024-2025,Oct,31,UTTAR PRADESH,3123,MAINPURI,2948701,236.313915889557,46,163,3842.483260341,8851,0,18865,3401171,887458,45071,5972,305,303.9801,12183.903736541,72683,83118,126691,165061,1534,192911,243228,27716,8037.44037619999,1171654,37,62.33,10.73,100.14,NA
2024-2025,Oct,31,UTTAR PRADESH,3130,HARDOI,5049830,241.330733067479,39,450,8106.52699619899,26139,10,39997,5425285,1711375,103266,5555,431,880.89702,22080.304077699,136673,149913,247204,302164,3046,415171,489383,66136,13092.8800615,1892577,48,38.58,23.85,100.87,NA
2024-2025,Oct,31,UTTAR PRADESH,3137,KANPUR NAGAR,928893,232.956422151991,32,158,1181.969320014,2868,2,14217,748953,300028,37886,7341,933,93.01239,3019.715822414,23393,26184,63588,89377,350,111151,146424,17085,1744.7341124,201212,32,51.37,11.82,100.91,NA
2024-2025,Oct,31,UTTAR PRADESH,3141,HAMIRPUR,2129115,236.841205724635,43,149,4195.73729794,11270,0,13884,2651418,506084,42975,1005,46,321.98762,10797.37527794,61310,82976,115116,186919,1493,165434,265640,25154,6279.65036,1115511,63,42.39,29.21,101.23,NA
2024-2025,Oct,31,UTTAR PRADESH,3147,GONDA,4016059,241.01534532178,38,197,3360.693278888,13042,2,26512,2879995,729509,52679,3167,231,536.83588,10838.759053388,75707,79704,172906,199868,797,309772,348557,39554,6941.2298945,1253978,46,33.53,32.78,100.41,NA
2024-2025,Oct,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,6045448,239.018878932705,35,226,11273.924810907,13406,6,22906,5845055,1411532,74671,170,10,879.59281,26124.302554907,166892,181527,272414,320538,844,376067,438223,36312,13970.784934,3323629,23,31.5,24.78,99.78,NA
2024-2025,Oct,31,UTTAR PRADESH,3152,MAHARAJGANJ,4125327,242.611443442302,33,512,7931.628046435,25302,0,31119,4838413,1069608,77872,23948,1806,751.42615,20421.597815435,144044,170390,238247,347672,1106,350062,492851,56421,11738.543619,2478196,55,33.79,22.92,100.24,NA
2024-2025,Oct,31,UTTAR PRADESH,3155,DEORIA,3348905,240.560143441313,38,181,3673.056325499,5020,24,22329,2409278,560943,37700,86876,5516,501.72019,9970.539128199,62943,66016,132242,152225,1089,205508,232618,27349,5795.7626127,995226,23,54.67,22.7,99.98,NA
2024-2025,Oct,31,UTTAR PRADESH,3156,MAU,2812357,238.401129510063,35,415,4045.209360862,12122,19,13463,2847022,986579,72488,40999,2752,571.97404,11404.516006262,80969,90615,154504,198980,852,246034,303703,25585,6787.3326054,1487465,32,39.93,27.54,100.04,NA
2024-2025,Oct,31,UTTAR PRADESH,3158,JAUNPUR,6450449,239.368480347158,42,1018,10115.794517695,47581,20,40875,7297647,2474245,125434,502,18,1290.43585,28874.497092695,172950,178640,311200,340572,1760,451886,490238,88456,17468.266725,3866216,59,30.98,27.43,100.19,NA
2024-2025,Oct,31,UTTAR PRADESH,3159,BALLIA,3473529,234.545928818465,33,222,3760.948803066,14113,12,24744,2171743,436309,46932,78148,7760,986.95962,9841.643213966,64618,70976,161742,202427,507,275978,332367,38857,5093.7347909,1003694,50,49.37,17.4,100.13,NA
2024-2025,Oct,31,UTTAR PRADESH,3161,VARANASI,1172152,240.326571755326,29,174,3162.804811263,9087,0,13405,1198803,423421,49239,7690,919,123.9638,6167.810763263,40268,48664,86620,133750,897,144332,207316,22492,2881.042152,603667,50,38.08,13.99,100.3,NA
2024-2025,Oct,31,UTTAR PRADESH,3162,MIRZAPUR,3612456,238.106336122216,37,440,3485.458823425,9736,0,25088,2807217,1179853,109931,33302,2835,583.97326,10753.593629125,74957,93172,165475,249780,1563,265836,381938,34824,6684.1615457,1416764,48,44.86,27.61,100.62,NA
2024-2025,Oct,31,UTTAR PRADESH,3170,KAUSHAMBI,1452735,238.217995181603,33,210,2650.457005202,7093,3,14986,1215342,512904,56249,928,72,304.86818,5850.488532202,35759,41393,86290,119678,698,133475,177361,22079,2895.163347,603557,62,37.52,28.94,101.17,NA
2024-2025,Oct,31,UTTAR PRADESH,3171,CHANDAULI,3316952,239.637871888679,47,198,7153.586576145,5319,2,22839,4235098,1049174,63220,24265,1092,461.20683,17763.692125745,89736,115650,139131,207635,1253,186045,268766,28158,10148.8987196,1669554,39,49.71,16.11,102.66,NA
2024-2025,Oct,31,UTTAR PRADESH,3177,CHITRAKOOT,1386457,238.030617243829,35,292,2395.466907512,9520,5,15199,1243123,472360,66393,503,31,352.7589,5707.239157512,35077,45558,92140,151057,664,135177,214726,24719,2959.01335,582881,74,49.24,9.69,99.98,NA
2024-2025,Oct,31,UTTAR PRADESH,3179,MAHOBA,819415,238.219468148581,45,54,1554.239599265,3742,1,8934,1003927,229140,26495,1208,96,124.18951,4069.978669265,22249,30577,50971,92306,1198,81130,139466,12676,2391.54956,369055,55,39.25,35.12,100.27,NA
2024-2025,Oct,31,UTTAR PRADESH,3181,AMETHI,3375260,241.424936261958,36,148,4090.073793129,18043,1,23201,2212415,627557,62364,53,3,386.43043,9817.825726729,59940,67168,146098,200247,687,220862,289040,41244,5341.3215036,931244,59,32.42,27.66,100.27,NA
2024-2025,Oct,31,UTTAR PRADESH,3182,HAPUR,92532,237.23800787488,34,29,22.4572522,451,0,1487,164066,85772,4481,49,6,0,411.6841622,4793,5147,9018,9921,13,16142,17901,1938,389.22691,68918,11,75.91,9.9,99.85,NA
2024-2025,Nov,31,UTTAR PRADESH,3130,HARDOI,5472660,241.079371961488,42,628,8519.918496695,27844,10,40006,6143015,1948408,104728,6105,438,881.27896,24210.739438195,143403,157618,250289,307063,5344,416995,493435,67850,14809.5419815,2152378,48,41.82,22.28,100.84,NA
2024-2025,Nov,31,UTTAR PRADESH,3137,KANPUR NAGAR,1006672,234.656695168819,34,162,1240.424932738,3809,1,13135,831867,331976,38004,8239,937,93.01239,3285.468933138,24090,27000,63806,89714,523,111309,146727,16944,1952.0316104,224967,33,52.24,11.01,100.86,NA
